GeneSet	DESC	GeneSet,Genes
ABCB10	ABCB10	ABCB10,SLC25A37,FECH,SLC25A28,COX10,TMEM14C,CPOX,PPOX,FLVCR1,ABCB8,TFRC
ABCB11	ABCB11	ABCB11,ATP8B1,NR1H4,NR0B2,CYP7A1,SLC10A1,FABP6,SLCO1B1,SLCO1B3,NR1I2,CYP8B1
ABCB4	ABCB4	ABCB4,ATP8B1,SLC10A2,SLC10A1,CYP7A1,NR1H4,PPARA,ABCC2,NR1I2,GGT1,ABCB1
ABCB5	ABCB5	ABCB5,KCNJ11,PROM1,ABCE1,ABCA1,CD44,BRAF,NGFR,ABCC10,NR1I3,CYP7A1
ABCB6	ABCB6	ABCB6,ABCD4,ABCA2,ABCG5,ABCG8,ABCB8,FECH,ATP2A2,ATP1A1,ATP1A3,ATP1A2
ABCB8	ABCB8	ABCB8,CCDC51,SLC25A28,ABCB6,ABCA2,ABCD4,ABCG5,ABCG8,SLC25A37,ATP12A,ATP1A3
ABCB9	ABCB9	ABCB9,LAMP1,TAP2,TAPBP,OGFOD2,TAP1,ABCF3,CALR,PDIA3,B2M,ABCD4
ABCC1	ABCC1	ABCC1,ABCG2,MRPS7,MVP,LTB4R2,LTC4S,CTNNB1,MYC,ABCG1,CYP2B6,SPNS2
ABCC10	ABCC10	ABCC10,MRPS7,ABCB1,ABCB5,E2F1,ABCG4,ABCF1,ABCF2,ABCE1,ZNF318,ABCF3
ABCC11	ABCC11	ABCC11,ABCC12,ABCF2,ABCG4,MRPS7,ABCG8,ABCA10,ABCE1,ABCB1,ABCA12,ABCF3
ABCC12	ABCC12	ABCC12,ABCC11,MRPS7,OR10AG1,ABCF2,TSGA10IP,ABCE1,FSIP2,ABCF3,ABCB1,ALDH18A1
ABCC2	ABCC2	ABCC2,ABCG2,SLC22A8,UGT1A6,SLCO1B1,SLCO1B3,RDX,CRY1,PDZK1,UGT2B7,SLC10A1
ABCC3	ABCC3	ABCC3,SLC51A,SLC51B,CYP7A1,MRPS7,SLCO1B1,SLC10A1,SLCO1B3,SLCO2B1,SLCO1A2,NR1I2
ABCC4	ABCC4	ABCC4,MRPS7,SLC22A11,SLC22A7,SLC22A8,PDZK1,SNX27,SLC9A3R1,SLC22A12,SLC22A6,FABP6
ABCC5	ABCC5	ABCC5,MRPS7,ABCG2,ABCF3,SLC2A1,SLCO2B1,ABCF2,ABCG4,ABCB1,SLC29A1,SLC28A1
ABCC6	ABCC6	ABCC6,GGCX,MGP,XYLT1,VKORC1,MRPS7,ENPP1,AHSG,NOMO2,XYLT2,ELN
ABCC8	ABCC8	ABCC8,KCNJ8,KCNJ11,TRPM4,RAPGEF4,GCK,PRKACB,PRKACA,PRKACG,INS,ABCC9
ABCC9	ABCC9	ABCC9,KCNJ8,KCNJ11,ABCC8,RBM20,SCN5A,MYBPC3,CSRP3,TMPO,EYA4,DSG2
ABCD2	ABCD2	ABCD2,ABCD3,PEX19,ACSBG1,SLC27A2,PEX13,PEX11B,PXMP4,PEX3,PEX12,SLC25A17
ABCD3	ABCD3	ABCD3,PEX19,RAD51,PEX3,PEX16,ABCD2,PEX2,PEX5,PEX14,PEX13,PEX11B
ABCD4	ABCD4	ABCD4,LMBRD1,ABCA2,ABCB6,ABCG5,ABCG8,RAD51,ACSBG1,ABCB8,SLC27A2,MMACHC
ABCE1	ABCE1	ABCE1,ETF1,EIF3J,EIF3A,EIF3B,RPS23,RNASEL,FAU,RPLP0,RPS3,RPS6
ABCF1	ABCF1	ABCF1,RPL11,RPS23,RPL10A,RPS29,RPL8,RPL19,RPS28,RPL18,RPL38,RPS21
ABCF2	ABCF2	ABCF2,ABCE1,MRPL20,ABCB1,MRPL27,RPL35,RPL23A,RPS18,RPL11,MRPL21,RPL23
ABCF3	ABCF3	ABCF3,GCN1,MRPL20,MRPL27,RPL35,RPL11,RPL23A,RPS18,MRPL21,RPL5,MRPL33
ABCG1	ABCG1	ABCG1,APOA1,NR1H3,APOE,NR1H2,SREBF2,XPR1,SCARB1,SREBF1,CYP7A1,RXRA
ABCG2	ABCG2	ABCG2,ABCC2,ABCC1,SLCO1B1,SLC2A9,SLC22A12,BSG,MRPS7,SLC22A1,SLC22A8,ALB
ABCG4	ABCG4	ABCG4,APOA1,APOE,ABCF3,ABCC5,ABCF2,ABCC1,CYP46A1,ABCC10,ABCC11,NLRX1
ABCG5	ABCG5	ABCG5,ABCG8,ABCD4,ABCB6,ABCA2,SREBF2,XPR1,NR1H3,CYP7A1,NPC1L1,NR1H2
ABCG8	ABCG8	ABCG8,ABCG5,ABCD4,ABCB6,ABCA2,SREBF2,NR1H3,XPR1,NPC1L1,NR1H2,CYP7A1
ABHD1	ABHD1	ABHD1,PREB,ABHD16B,ABHD11,ABHD10,C3orf18,ABHD13,ABHD14A,ABHD16A,ABHD8,ABHD12B
ABHD10	ABHD10	ABHD10,ABHD17A,ABHD13,KCMF1,ABHD17B,ABHD11,ABHD3,ABHD12B,ABHD6,LYPLA1,ABHD16B
ABHD11	ABHD11	ABHD11,PAFAH2,ABHD6,DERL1,ABHD1,ABHD10,LYPLA1,ABHD3,ABHD18,LYPLA2,ROGDI
ABHD12	ABHD12	ABHD12,ABHD6,ABHD16A,MGLL,FAAH,NAPEPLD,DAGLA,ABHD4,DAGLB,GPR55,NAAA
ABHD12B	ABHD12B	ABHD12B,ABHD16B,ABHD14A,CD58,AP3B2,ABHD6,CLEC19A,ABHD16A,WHAMM,ABHD10,ABHD8
ABHD13	ABHD13	ABHD13,ABHD10,MTMR6,LYPLA1,ABHD16B,ABHD16A,LYPLA2,ABHD14A,LIG4,ABHD8,ABHD11
ABHD14A	ABHD14A	ABHD14A,ABHD16B,ABHD12B,ACY1,ABHD13,ABHD8,ABHD15,ABHD10,ABHD1,NDUFAB1,PALB2
