GeneSet	DESC	GeneSet,Genes
ARHGAP23	ARHGAP23	ARHGAP23,RHOA,CCDC85C,CCDC85A,PRICKLE1,SAPCD1,RAC1,SRCIN1,ZNF541,RASA1,CCDC51
ARHGAP24	ARHGAP24	ARHGAP24,CDC42,RHOA,SCN10A,CAV2,ARHGDIA,INF2,TBX5,ROCK1,NPHS2,NPHS1
ARHGAP25	ARHGAP25	ARHGAP25,ARHGAP9,LCP2,CD53,ATG7,PLEK,EVI2B,HCLS1,PTPRC,ARHGAP15,NCKAP1L
ARHGAP26	ARHGAP26	ARHGAP26,PKN3,RHOA,ARHGAP10,CDC42,DNER,CDC42EP2,AMPH,C2CD2,CLDN18,BIN1
ARHGAP27	ARHGAP27	ARHGAP27,CDC42,RAC1,PLEKHM1,ARL17A,KANSL1,ARL17B,LRRC37A2,LRRC37A,LRRC37A3,RHOA
ARHGAP28	ARHGAP28	ARHGAP28,RHOA,L3MBTL4,AKAIN1,C10orf71,ARHGAP29,ENOX1,CNTROB,LAMA1,ANKRD12,MAP6D1
ARHGAP29	ARHGAP29	ARHGAP29,RAP2A,RASIP1,PTPN13,PARG,RHOA,CDC42,IRF6,AFDN,ABCA4,GRHL3
ARHGAP30	ARHGAP30	ARHGAP30,RHOU,CORO1A,NCKAP1L,ARHGAP9,SNX20,LAPTM5,IQGAP1,KLHDC9,SLAMF8,PTPRC
ARHGAP31	ARHGAP31	ARHGAP31,KALRN,CDC42,ZEB2,MYLK,RHOA,ITSN1,DOCK6,EOGT,ITSN2,RAC1
ARHGAP32	ARHGAP32	ARHGAP32,CDC42,RHOA,CRK,RAC1,RASA1,RHOG,SYNGAP1,CRKL,RHOB,DLG4
ARHGAP33	ARHGAP33	ARHGAP33,RHOQ,CDC42,NEK6,SUCO,RAC1,SORT1,NTRK1,SYNGAP1,RALGAPB,NCKAP1
ARHGAP35	ARHGAP35	ARHGAP35,RASA1,RHOA,RND3,RND1,SRC,CTNND1,PTK6,RND2,THY1,ARHGAP5
ARHGAP39	ARHGAP39	ARHGAP39,CDC42,FAM83H,MROH1,RAC1,ROBO1,CYHR1,CPSF1,RHOD,ROBO4,RHOF
ARHGAP40	ARHGAP40	ARHGAP40,RHOA,CDC42,C11orf98,SLC32A1,VSTM2L,KIAA1755,TENM2,CD2AP,KRTDAP,ZNF428
ARHGAP42	ARHGAP42	ARHGAP42,RHOA,DEF6,MAIP1,C2orf80,MGAT4D,NEPRO,CDC42,STOX2,VPS33B,RAC3
ARHGAP44	ARHGAP44	ARHGAP44,TRIP10,ARHGAP17,SH3BP1,RAC1,CDC42,BST2,SHANK3,CASP5,CD2AP,CASP4
ARHGAP45	ARHGAP45	ARHGAP45,ABCA7,MYO1G,HLA-A,RAC1,CDC42,RHOA,POLR2E,R3HDM4,SBNO2,SIPA1
ARHGAP5	ARHGAP5	ARHGAP5,RHOA,SRC,RND3,ARHGAP35,THY1,RND1,CTNND2,AKT1,CDC42,CTNND1
ARHGAP8	ARHGAP8	ARHGAP8,PRR5,SH3GL1,SH3GL3,SH3GL2,PRR5-ARHGAP8,CDC42,RHOA,CTTN,PRR5L,MAPKAP1
ARHGAP9	ARHGAP9	ARHGAP9,PLEK,TBC1D10C,CDC42,PLEK2,RAC2,RAC1,PSTPIP1,PARVG,ARHGAP30,NRSN1
ARHGDIA	ARHGDIA	ARHGDIA,CDC42,RHOA,RAC1,RAC2,NGFR,RHOC,RHOG,AKT1,PRKACA,PRKACB
ARHGDIB	ARHGDIB	ARHGDIB,RHOA,RAC2,NGFR,CDC42,PRKACA,PRKACB,PRKACG,ARHGDIA,ARHGDIG,RAC1
ARHGDIG	ARHGDIG	ARHGDIG,RHOA,CDC42,NGFR,RHOB,RHOG,PRKACA,PRKACG,PRKACB,ARHGDIA,ARHGDIB
ARHGEF1	ARHGEF1	ARHGEF1,GNA13,GNA12,RHOA,CD44,GNAQ,CDC42,PTK2,PTK2B,ARHGEF7,AKAP13
ARHGEF10	ARHGEF10	ARHGEF10,RHOA,CDC42,RAB8A,CLN8,RAC1,RNMT,RHOB,ARHGEF1,RHOC,DLGAP2
ARHGEF10L	ARHGEF10L	ARHGEF10L,RHOA,LSM14B,RABIF,RBM28,ESRP2,MYO1B,RHOB,ARHGEF1,CDC42,ARHGEF17
ARHGEF11	ARHGEF11	ARHGEF11,GNA12,RHOA,GNA13,PLXNB1,PLXNB2,ARHGEF12,RHOC,ARHGEF1,AKAP13,SLC1A6
ARHGEF12	ARHGEF12	ARHGEF12,RHOA,GNA12,GNA13,PLXNB1,PLXNB2,GNAQ,CD44,ARHGEF11,ARHGEF7,RHOC
ARHGEF15	ARHGEF15	ARHGEF15,UBE3A,RHOA,EPHA4,CDC42,EFNB3,FGD5,SEMA3G,EFNB2,CSAD,ARHGEF33
ARHGEF16	ARHGEF16	ARHGEF16,EPHA2,SCRIB,RHOG,TAX1BP3,CDC42,RHOA,ARHGEF38,ELMO2,RHOB,ELMO1
ARHGEF17	ARHGEF17	ARHGEF17,RHOA,CDC42,PLXDC1,CDH17,RABIF,RASL12,RASD2,RHOC,RHOB,NUAK2
ARHGEF18	ARHGEF18	ARHGEF18,CGN,RHOA,EPB41L4B,STK11,PATJ,CGNL1,ROCK2,F11R,TJP1,RHOB
ARHGEF19	ARHGEF19	ARHGEF19,DAAM1,RHOA,ARHGEF35,CDC42,DVL1,RAC1,ALS2CL,KIAA1109,ARHGEF38,PLEKHG4B
ARHGEF2	ARHGEF2	ARHGEF2,RHOA,CGN,CGNL1,PTK2,RIPK2,EXOC2,TUBA1A,TUBA4A,TUBB,TUBB4A
ARHGEF25	ARHGEF25	ARHGEF25,RHOA,GNAQ,CDC42,BVES,GNA15,GNA11,GNA14,RGS8,RGS5,PAK5
ARHGEF26	ARHGEF26	ARHGEF26,RHOG,CDC42,RHOA,RAC1,RHOB,SCRIB,LIN7C,ARHGEF1,RHOC,RABIF
ARHGEF28	ARHGEF28	ARHGEF28,RHOA,ARHGEF12,PTK2B,ARHGEF1,PTK2,GNAQ,RHOC,NEFM,RHOB,NEFL
ARHGEF3	ARHGEF3	ARHGEF3,RHOB,RHOC,RHOA,RICTOR,CDC42,RHOG,PLEK,GNA13,ROCK1,ARHGEF1
ARHGEF33	ARHGEF33	ARHGEF33,ARHGEF1,USP31,KRTAP2-1,ARHGEF15,OR8J1,ARHGEF10,RHOA,RHOC,KRTAP2-2,ANO4
ARHGEF35	ARHGEF35	ARHGEF35,ARHGEF19,ARHGEF5,NGEF,ARHGEF37,ARHGEF1,PTPN20,FAM72C,FAM72B,RHOC,DUSP22
ARHGEF37	ARHGEF37	ARHGEF37,BIN3,FCHSD1,ARHGEF35,RHOA,ARHGAP44,ARHGEF1,RHOB,ARHGEF39,RAC1,RHOC
ARHGEF38	ARHGEF38	ARHGEF38,AMPH,BIN1,BIN2,INTS12,RAC1,ARHGEF16,GSTCD,ARHGEF19,ARHGEF1,HSPA12B
ARHGEF39	ARHGEF39	ARHGEF39,TIFA,GALNT1,MELK,CERS2,ARHGEF37,GNA13,RHOA,RHOB,RHOC,ARHGEF1
ARHGEF4	ARHGEF4	ARHGEF4,APC,CDC42,RAC2,RAC3,SPATA13,APC2,RHOA,IQGAP1,RAC1,KIFAP3
ARHGEF40	ARHGEF40	ARHGEF40,PLEK2,RHOA,PLEK,ARHGEF17,ARHGEF1,SMC3,RAC1,BRCA1,PARP1,RHOC
ARHGEF5	ARHGEF5	ARHGEF5,RHOA,GRB2,RHOG,CDC42,SHC1,GAREM1,ARHGEF35,DTNA,CTNNAL1,ARHGEF1
ARHGEF7	ARHGEF7	ARHGEF7,GIT1,PAK2,CDC42,GIT2,SCRIB,PAK1,SRC,CBL,PXN,PAK4
ARID1A	ARID1A	ARID1A,SMARCC1,ARID1B,DPF2,ACTL6A,SMARCD1,SMARCD3,SMARCA4,SMARCE1,SMARCB1,SMARCC2
ARID1B	ARID1B	ARID1B,SMARCB1,SMARCA2,SMARCC2,DPF2,SMARCC1,SMARCA4,ARID1A,SMARCE1,PBRM1,SMARCD1
ARID2	ARID2	ARID2,PBRM1,PHF10,BRD7,SMARCB1,SMARCC2,SMARCE1,SMARCA4,SMARCD1,ARID1A,ARID1B
ARID3A	ARID3A	ARID3A,TP53,ARID3B,ARID3C,NANOG,E2F1,SP100,RBL2,GTF2I,SMARCB1,PRRX2
ARID3B	ARID3B	ARID3B,ARID3A,SOX2,RBL2,ARID5A,LIN28B,ARID3C,PBRM1,SMARCB1,POU5F1,NANOG
ARID3C	ARID3C	ARID3C,ARID3A,DCTN3,ARID3B,SMARCB1,PBRM1,CROCC2,BRK1,FAM219A,FAM205A,MYSM1
ARID4A	ARID4A	ARID4A,BRMS1,BRMS1L,SIN3A,SAP30,SIN3B,SUDS3,HDAC1,ING2,RB1,ING1
ARID4B	ARID4B	ARID4B,SUDS3,SAP30,SIN3A,SIN3B,HDAC1,HDAC2,RBBP4,PHF12,ING1,SAP130
ARID5A	ARID5A	ARID5A,RBL2,ZC3H12A,SOX5,ARID3B,SBNO2,SAP30,ESR2,RC3H1,ARID4A,SMARCB1
ARID5B	ARID5B	ARID5B,PHF2,CEBPE,C16orf87,SMARCB1,HDAC1,PBRM1,PIP4K2A,ARID1A,ARID2,RBL2
ARIH1	ARIH1	ARIH1,UBE2L3,RBX1,NEDD8,CUL1,UBC,UBE2L6,CDKN1B,RPS27A,CUL3,EIF4E2
ARIH2	ARIH2	ARIH2,CUL5,RNF7,UBE2L3,NEDD8,ELOB,UBE2L6,BUB1,ELOC,RING1,MLLT10
ARIH2OS	ARIH2OS	ARIH2OS,NCKIPSD,DACT3,AP2S1,NDOR1,ANKRD44,LSM11,C6orf226,MED16
ARL1	ARL1	ARL1,GOLGA4,ARFIP2,ARFGEF1,SCOC,GCC2,RAB6A,COG6,GOLGA1,GCC1,RAB6B
ARL10	ARL10	ARL10,RASL11A,ARL16,NOP16,HIGD2A,ITSN2,ITSN1,LRRC72,CDKN2A,HEYL,CCDC32
ARL11	ARL11	ARL11,P2RX7,TRIP13,HIF1AN,ARL16,ITSN2,ITSN1,ZAP70,GBF1,CDADC1,PI4KB
ARL13B	ARL13B	ARL13B,INPP5E,PDE6D,IFT88,CC2D2A,TMEM216,IFT22,AHI1,TMEM67,IFT81,CEP290
ARL14	ARL14	ARL14,PSD4,ARL14EP,MYO1E,FREM3,PLD1,ITSN2,ITSN1,GBF1,LURAP1,RPS6KL1
ARL14EP	ARL14EP	ARL14EP,SETDB2,ATF7IP,ATF7IP2,SETDB1,ARL14,MYO1E,DNAJC24,METTL14,VHL,SUOX
ARL14EPL	ARL14EPL	ARL14EPL,CLEC18B,ANO8,ATF7IP,SETDB1,SETDB2,BICDL1,ATF7IP2,TENM2,CSRNP1,MED21
ARL15	ARL15	ARL15,PTP4A1,ANKRD55,LYPLAL1,FAM13A,GRB14,ITSN1,ITSN2,CNNM2,CNNM1,PTP4A2
ARL16	ARL16	ARL16,PDE6D,ARL9,ARL10,AMPH,ARL11,RNF125,ARL4A,CDKN2AIPNL,SRPRB,USP21
ARL17A	ARL17A	ARL17A,KANSL1,LRRC37A2,LRRC37A,LRRC37A3,ARHGAP27,ITSN2,ITSN1,PLEKHM1,SPPL2C,GBF1
ARL17B	ARL17B	ARL17B,KANSL1,LRRC37A2,LRRC37A3,LRRC37A,POTEB,ARHGAP27,ITSN2,ITSN1,PLEKHM1,SPPL2C
ARL2	ARL2	ARL2,ARL2BP,UNC119,TBCD,PDE6D,TUBB2A,TUBB4B,TUBB4A,TUBB2B,TBCB,TBCC
ARL2BP	ARL2BP	ARL2BP,ARL2,CFAP20,ARL3,SLC25A4,RSPRY1,INTS6,C8orf37,FAM76B,TTC8,TOMM22
ARL3	ARL3	ARL3,UNC119,UNC119B,CFAP36,PDE6D,RASA1,SYS1,TBCC,NPHP3,ARL2BP,ARL13B
ARL4A	ARL4A	ARL4A,CYTH2,GCC2,ELMO1,KPNA2,CYTH3,SOS2,CDKN2A,CYTH4,DOCK1,CYTH1
ARL4C	ARL4C	ARL4C,JDP2,XRCC2,CYTH2,FOSL2,CTSK,NR1H3,JUND,ITSN2,ITSN1,NR1H2
ARL4D	ARL4D	ARL4D,CYTH2,ITSN2,ITSN1,CYTH3,CYTH4,SMKR1,CYTH1,ARL16,CCDC102B,GBF1
ARL5A	ARL5A	ARL5A,VPS54,CDKN2A,VPS53,ARFGAP3,VPS51,GBF1,ITSN2,ITSN1,PI4KB,VPS50
ARL5B	ARL5B	ARL5B,PLEKHM2,KIF1A,KLC2,TOM1,KLC1,KLC3,PLEKHM1,KLC4,BORCS8,KXD1
ARL5C	ARL5C	ARL5C,ITSN2,ITSN1,VWA5B1,GBF1,OR5D13,VPS54,WDR89,OR4M2,GTF3C5,ARFGAP1
ARL6	ARL6	ARL6,BBS1,BBS7,TTC8,BBIP1,BBS9,BBS2,BBS4,BBS5,LZTFL1,CRYBG3
ARL6IP1	ARL6IP1	ARL6IP1,FAU,RPL27A,RPS18,RPS21,RPS13,RPS15,RPL31,RPL23,RPS3A,RPS28
ARL6IP4	ARL6IP4	ARL6IP4,PIP4K2B,ZRANB2,PIP4K2C,EIF3J,SRPK1,PIP4K2A,GPALPP1,OGFOD2,KRCC1,ZFYVE1
ARL6IP5	ARL6IP5	ARL6IP5,SLC1A1,RABAC1,RNF185,RTN4,ARL6,ESYT1,DERL1,DERL2,HTR3E,UBA3
ARL6IP6	ARL6IP6	ARL6IP6,FMNL2,RFTN2,PLBD2,CRTC2,MED29,N6AMT1,TRAPPC11,APPL1,DUSP3,NAA50
ARL8A	ARL8A	ARL8A,PLEKHM2,KXD1,BORCS5,TMEM192,ARL8B,BORCS8,BORCS7,ITSN1,SNAPIN,ITSN2
ARL8B	ARL8B	ARL8B,PLEKHM1,PLEKHM2,KIF5B,RAB7A,LAMP1,RAB2A,VPS41,LAMTOR2,VPS11,BORCS5
ARL9	ARL9	ARL9,RASL11A,RASL11B,ARL16,SRP72,RAP2A,ITSN2,ITSN1,CDKN2A,PDCL2,ANKRD50
ARMC1	ARMC1	ARMC1,DNAJC11,MTFR1L,RMDN1,MTX2,MRPL13,MAPT,ARMC12,STX1B,FAM151B,DPYSL3
ARMC10	ARMC10	ARMC10,TRAK2,RHOT1,MAP3K9,SMARCD1,FBXL13,LRIT2,MTFR1L,TCEA2,OGDHL,HDAC7
ARMC12	ARMC12	ARMC12,RBBP4,TBC1D21,ARMC1,KLHL40,TRIM7,CCDC54,C1orf226,VDAC3,TEX38,FCRL5
ARMC2	ARMC2	ARMC2,CFAP43,SPEF2,CFAP70,QRICH2,TTC21A,CFAP69,CFAP44,TTC29,DNAH1,WDR66
ARMC3	ARMC3	ARMC3,EFCAB1,TEKT1,CFAP126,C9orf116,FAM81B,C1orf194,IQUB,TEKT2,TMEM95,C5orf49
ARMC4	ARMC4	ARMC4,CCDC114,CCDC151,TTC25,CCDC63,DNAH5,EFCAB1,ZMYND10,CCDC39,CCDC65,DNAI2
ARMC5	ARMC5	ARMC5,DXO,PDE11A,PDE8B,PRKAR1A,KCNJ5,ATP1A1,MC2R,CUL3,ATP1A4,POMC
ARMC6	ARMC6	ARMC6,DDX49,MLST8,TMEM161A,PLCXD2,KLHDC4,TBL3,WDR6,ZADH2,ARMC2,BRAT1
ARMC7	ARMC7	ARMC7,RBM48,SCNM1,PPIL2,CRIPT,BUD13,DHX16,SF3B4,EFTUD2,SRRM2,SF3B2
ARMC8	ARMC8	ARMC8,GID8,GID4,RMND5A,WDR26,RANBP10,RANBP9,MAEA,RMND5B,MKLN1,YPEL5
ARMC9	ARMC9	ARMC9,TOGARAM1,DPH5,KIAA0556,ENOSF1,RBM46,DRC7,GID8,TTC23,C1orf216,CEP104
ARMS2	ARMS2	ARMS2,CFH,PLEKHA1,HMCN1,CFB,HTRA1,C2,LIPC,C3,CETP,CFI
ARMT1	ARMT1	ARMT1,CCDC170,RMND1,PPP5C,ZBTB2,NOM1,PANK4,PPP3CA,ATP6V1H,PLEKHG1,RCAN2
ARNT	ARNT	ARNT,HIF3A,EP300,HIF1A,AHR,EPAS1,NPAS4,ARNT2,CREBBP,SIM2,EIF5B
ARNT2	ARNT2	ARNT2,HIF1A,EPAS1,NPAS4,SIM1,HIF3A,ARNT,AHR,SIM2,AHRR,NPAS3
ARNTL	ARNTL	ARNTL,CRY1,NPAS2,CLOCK,CRY2,PER2,SIRT1,CSNK1E,NPAS4,BHLHE41,NR1D1
ARNTL2	ARNTL2	ARNTL2,CLOCK,NPAS2,ARNTL,CRY1,CIPC,CRY2,SERPINE1,CSNK1E,PER2,TIMELESS
ARPC1A	ARPC1A	ARPC1A,ACTR2,ARPC5,ARPC4,ARPC5L,ACTR3,ARPC3,ARPC2,ARPC1B,WASL,ACTR3B
ARPC1B	ARPC1B	ARPC1B,ACTR3,ARPC3,ARPC2,ACTR2,ARPC5,WASL,ARPC4,ARPC5L,ARPC1A,ACTR3B
ARPC2	ARPC2	ARPC2,ARPC1A,ACTR2,ARPC5,ARPC5L,ARPC4,ACTR3,ARPC3,ARPC1B,WASL,ACTR3B
ARPC3	ARPC3	ARPC3,ARPC2,ACTR3,ARPC1B,ARPC5L,ARPC4,ARPC5,ACTR2,ARPC1A,WASL,ACTR3B
ARPC4	ARPC4	ARPC4,ARPC5L,ARPC5,ACTR2,ARPC1A,ARPC2,ARPC1B,ARPC3,ACTR3,WASL,NCKIPSD
ARPC4-TTLL3	ARPC4-TTLL3	ARPC4-TTLL3,ARPC1A,ARPC1B,ARPC2,ARPC3,ACTR2,ARPC5L,ARPC5,ACTR3,EFHD2,DCP2
ARPC5	ARPC5	ARPC5,ARPC3,ACTR3,ARPC1B,ARPC2,ACTR2,ARPC1A,ARPC4,WASL,NCKIPSD,ACTR3B
ARPC5L	ARPC5L	ARPC5L,ARPC1B,ARPC3,ARPC2,ARPC1A,ACTR2,ARPC4,ACTR3,ACTR3B,ACTG1,WASL
ARPIN	ARPIN	ARPIN,TNKS2,ACTR3,ARPC2,AP3S2,ARPC5,ARPC3,ACTR2,ARPC1B,AP3D1,ARPC4
ARPP19	ARPP19	ARPP19,MASTL,PPP2R2D,MINK1,ARPP21,PPP2R1A,PPP2CA,PPP2R2A,PPP1R1B,CDK1,PPP2R2B
ARPP21	ARPP21	ARPP21,ARPP19,PPP1R1B,ENSA,CAMK1,CAMK2A,PCP4,SLC6A1,DRD1,BCL11B,SV2B
ARRB1	ARRB1	ARRB1,ADRB2,SRC,GRK2,AP2B1,NTSR1,SMO,MAPK3,AKT1,MDM2,MAPK1
ARRB2	ARRB2	ARRB2,ADRB2,GRK2,SRC,DRD2,MAP2K4,AKT1,SMO,MAPK3,AP2B1,TAB1
ARRDC1	ARRDC1	ARRDC1,TSG101,WWP2,NEDD4,ITCH,WWP1,VPS37A,HECW2,YAP1,ARRB1,NEDD4L
ARRDC2	ARRDC2	ARRDC2,WWP1,TMA16,SYDE2,WWP2,NEDD4,SMURF2,RASL11B,TRIB1,HECW2,CNKSR1
ARRDC3	ARRDC3	ARRDC3,NEDD4,WWP2,ADRB2,WWP1,NEDD4L,ARRB1,ITCH,ARRB2,SAG,TXN
ARRDC4	ARRDC4	ARRDC4,TRIM65,MLXIP,IFIH1,WWP2,WWP1,ITCH,NEDD4L,NEDD4,SAG,HECW2
ARRDC5	ARRDC5	ARRDC5,NEDD4,WWP2,LKAAEAR1,TXNIP,NEDD4L,C4orf17,TEX38,C11orf94,OR7D2,WWP1
ARSA	ARSA	ARSA,GALC,SUMF1,ARSB,UGT8,ARSG,NEU1,NEU4,PSAP,NEU3,NEU2
ARSB	ARSB	ARSB,IDUA,ARSA,SUMF1,ARSG,HYAL1,SPAM1,HYAL2,HYAL4,HYAL3,ARSK
ARSG	ARSG	ARSG,ARSB,ARSA,ARSK,SUMF1,SUMF2,ARSI,SULF2,ARSJ,CLN6,SULF1
ARSI	ARSI	ARSI,ARSK,SUMF1,SUMF2,ARSG,ARSA,MED6,MED7,MED21,MED31,SPG21
ARSJ	ARSJ	ARSJ,ARSK,SUMF1,SUMF2,ENPP1,ARSG,ARSA,ABCC6,MED6,MED7,MED21
ARSK	ARSK	ARSK,ARSI,ARSJ,ARSB,ARSG,SUMF1,SUMF2,ARSA,GALNS,TTC37,PON2
ART1	ART1	ART1,PARG,ODF1,DEFA3,DEFA4,DEFA6,PROP1,DEFA5,DEFB1,ADPRH,DEFB4A
ART3	ART3	ART3,LIPT1,PARG,KCNE3,LIPT2,BST1,CXCL11,DYNC2LI1,ACTN2,ART4,CXCL10
ART4	ART4	ART4,BST1,PCYOX1,ART3,GPLD1,ALPL,ALPI,LY6G6D,CEACAM5,PDCD1,PARP15
ART5	ART5	ART5,PARG,ADPRH,MACROD1,MACROD2,PARP15,TRIM72,ITGA7,PARP6,ZDBF2,PARP10
ARTN	ARTN	ARTN,GFRA3,RET,GFRA1,GFRA2,GFRA4,GDNF,NRTN,SDC3,NTRK1,PSPN
ARV1	ARV1	ARV1,PIGQ,PIGC,PIGH,TEX2,PIGG,PIGP,INTS12,PIGY,PIGK,ACVR1
ARVCF	ARVCF	ARVCF,COMT,TXNRD2,ERBIN,CTNNB1,PKP1,PKP3,FRMPD2,CPEB2,CDH17,ATP6V1E1
AS3MT	AS3MT	AS3MT,BORCS7,CNNM2,SIGMAR1,SC5D,LSS,FDFT1,GSTO1,GSTO2,NT5C2,HSD17B7
ASAH1	ASAH1	ASAH1,ASAH2,GALC,ACER1,SPHK1,CERK,GBA,ACER2,SPHK2,CERS2,ACER3
ASAH2	ASAH2	ASAH2,ASAH1,ACER2,ACER1,ACER3,SPHK2,SPHK1,CERK,SGMS1,CERS6,UGCG
ASAH2B	ASAH2B	ASAH2B,ASAH1,ACER2,ACER1,CERK,AGAP6,SPTLC1,ANTXRL,SPHK2,SPHK1,CERKL
ASAP1	ASAP1	ASAP1,ARF6,SRC,ARF4,APC,CTTN,ASAP3,ARF1,RAB11FIP3,RAB11A,PTK2
ASAP2	ASAP2	ASAP2,ARF6,ASAP3,ASAP1,PTK2B,PXN,ARF5,PAPOLB,GRB2,ARF1,RASA1
ASAP3	ASAP3	ASAP3,ARF6,ASAP1,ASAP2,CRK,TULP3,PDZD3,ARAP2,ARF5,CYHR1,GIT1
ASB1	ASB1	ASB1,CUL5,ELOB,RNF7,ELOC,TRAF3IP1,CISH,ASB6,CAND1,UBE2F,NEDD8
ASB10	ASB10	ASB10,WDR36,MYOC,CUL5,OPTN,NTF4,CYP1B1,OCLM,ELOC,RNF7,LMX1B
ASB13	ASB13	ASB13,CUL5,ELOB,RNF7,ASB7,KLHL20,ARIH2,ELOC,NUDT3,COMMD8,NEDD8
ASB14	ASB14	ASB14,ANKRD9,CUL5,ELOC,ELOB,COMMD8,KLHL21,NEDD8,COMMD1,CAND1,COMMD4
ASB15	ASB15	ASB15,CUL5,ELOC,ELOB,MTPN,LMOD2,COMMD1,ASB4,COMMD8,ASB6,NEDD8
ASB16	ASB16	ASB16,ELOC,ELOB,CUL5,COMMD8,NEDD8,HIF1AN,COMMD4,COMMD9,UBE2F,UBA3
ASB17	ASB17	ASB17,ASB2,TGM6,ADAM8,ELOB,OR5M11,CCDC190,CUL5,OR5AR1,TAS2R1,RNF7
ASB18	ASB18	ASB18,KCNA7,CUL5,SLC36A2,ELOC,RNF7,ELOB,COMMD8,NEDD8,UBE2F,COMMD4
ASB2	ASB2	ASB2,CUL5,RNF7,ELOC,ASB17,ELOB,CISH,CAND1,FTO,UBC,CUL1
ASB3	ASB3	ASB3,ELOC,CUL5,ELOB,CHAC2,CISH,GPR75,TNNI3K,RNF7,ASB6,SP5
ASB4	ASB4	ASB4,CUL5,ELOB,RNF7,CUL2,ELOC,COMMD1,RBX1,APPBP2,KLHDC10,KLHDC1
ASB5	ASB5	ASB5,ELOC,CUL5,ELOB,XIRP2,SPCS3,WDR17,SPATA4,MRVI1,ASB6,KLHL41
ASB6	ASB6	ASB6,CUL5,RNF41,RNF7,ELOB,ELOC,POLR2A,ASB1,GPN2,FZR1,POLR2B
ASB7	ASB7	ASB7,CUL5,RNF7,ZBTB6,RPAP3,TADA2B,ELOB,KLHL20,FAM104A,CCDC127,WDR92
ASB8	ASB8	ASB8,ELOC,ELOB,CUL5,NEDD8,HIF1AN,AMBRA1,FAM217B,RNF215,UBE2F,RNF7
ASCC1	ASCC1	ASCC1,ASCC2,ASCC3,TRIP4,ALKBH3,DAP3,YBEY,RPS11,MRPL13,MRPL47,MRPL46
ASCC2	ASCC2	ASCC2,ASCC1,ASCC3,TRIP4,ALKBH3,ZNF598,PPIL2,NEMF,RPS20,GAS2L1,GUCD1
ASCC3	ASCC3	ASCC3,TRIP4,ASCC2,ASCC1,ALKBH3,PRPF8,ZNF598,PRPF6,SNW1,CDC5L,XAB2
ASCL1	ASCL1	ASCL1,NEUROG2,POU3F2,MYT1L,TCF12,POU3F3,DLX2,ID4,CREB1,PHOX2B,EP300
ASCL2	ASCL2	ASCL2,PHLDA2,KCNQ1,SLC22A18,TCF3,TSSC4,LGR5,CDKN1C,OLFM4,IGF2,TSPAN32
ASCL3	ASCL3	ASCL3,TCF4,TCF3,ID4,ACSL3,ID1,MYOD1,TCF12,TRPM5,CFTR,ACBD6
ASCL4	ASCL4	ASCL4,ID2,TCF12,GPX4,MAIP1,NEPRO,PHF24,ARHGAP42,ASCL2,GPATCH2,TCF4
ASCL5	ASCL5	ASCL5,BHLHE23,ACSL5,BHLHA9,TMEM170B,PPP1R3G,GPR25,ZNF316,TCF24,ZNF141,MFSD6L
ASF1A	ASF1A	ASF1A,UBN1,HIRA,CABIN1,TLK2,NASP,MCM2,CHAF1B,TLK1,IPO4,HAT1
ASF1B	ASF1B	ASF1B,NASP,MCM2,CHAF1B,HIRA,TLK2,IPO4,TLK1,CHAF1A,HAT1,MCM6
ASGR1	ASGR1	ASGR1,ASGR2,TG,ST3GAL4,CERS2,VWF,ST3GAL1,ALB,ATP1B2,SLC22A1,CLEC1B
ASGR2	ASGR2	ASGR2,ASGR1,ST3GAL4,TG,CERS2,ST3GAL1,ATP1B2,ATP6V0C,VWF,SLC22A1,ERLEC1
ASH1L	ASH1L	ASH1L,MORF4L1,GON4L,YY1AP1,CGN,USP34,SETD2,CAMKMT,RBBP5,NIPBL,BPTF
ASH2L	ASH2L	ASH2L,KMT2A,CXXC1,WDR82,WDR5,PAXIP1,SETD1B,SETD1A,RBBP5,KMT2C,DPY30
ASIC1	ASIC1	ASIC1,ASIC2,PICK1,P2RX4,UBE2G1,STOM,SGK3,ASIC3,TRPV1,ASIC5,STOML3
ASIC2	ASIC2	ASIC2,ASIC1,STOM,PICK1,ASIC3,STOML3,DLG4,ASIC4,TRPV1,TRPA1,PIEZO2
ASIC3	ASIC3	ASIC3,ASIC4,ASIC5,STOM,TRPV1,STOML3,ASIC2,P2RX5,P2RX3,MAGI1,TRPA1
ASIC4	ASIC4	ASIC4,ASIC3,ASIC5,PNKD,HAGH,ASIC2,SLC4A3,TRPV1,EHBP1L1,BUD13,ASIC1
ASIC5	ASIC5	ASIC5,ASIC4,ASIC3,STOML3,STOM,ASIC1,ASIC2,TAS2R60,CTSO,GAK,TAS2R42
ASIP	ASIP	ASIP,MC1R,POMC,ATRN,AGRP,TYRP1,OCA2,RALY,DEFB103A,TYR,DEFB103B
ASL	ASL	ASL,ASS1,NAGS,OAT,ARG2,ARG1,NOS3,ADSL,NOS1,NOS2,AZIN2
ASNS	ASNS	ASNS,ASS1,GOT2,GOT1,ASRGL1,GOT1L1,CAD,NAT8L,ATF4,ALDH18A1,IL4I1
ASNSD1	ASNSD1	ASNSD1,ALDH18A1,GATB,SMIM27,OAT,TMEM109,AADAT,AGXT,FH,RIOK2,GLUL
